HOT_score	Phenotype	PDL1	HPGDS	PTGDS	PTGDR	SLCO2A1
TCGA-MP-A4SY_T_LUAD	-0.795583858101373	Cold	24.0695	4.8329	0.6223	0.4782	51.0046
TCGA-97-7546_T_LUAD	0.35719824028104	Hot	18.8129	9.6691	4.5963	0.9202	27.0933
TCGA-78-7154_T_LUAD	-0.556261138165625	Cold	3.3855	1.8881	1.8449	0.4173	42.7895
TCGA-73-4659_T_LUAD	-0.728480348914757	Cold	6.089	2.1515	3.6408	0.3131	50.2321
TCGA-50-5068_T_LUAD	0.745797075454611	Hot	4.5251	11.5082	4.2795	0.7745	11.894
TCGA-69-7980_T_LUAD	0.390494508927169	Hot	15.4626	3.9756	3.5201	0.4819	73.9271
TCGA-73-7498_T_LUAD	-0.398723569775296	Cold	2.84	5.2279	6.295	0.7242	81.7616
TCGA-86-8585_T_LUAD	0.546673512856698	Hot	9.7706	1.1624	7.303	0.9776	7.3671
TCGA-78-7542_T_LUAD	-0.288998714441991	Cold	73.5737	1.1644	0.3082	0.2742	6.6737
TCGA-05-4250_T_LUAD	0.599264127306018	Hot	44.0241	3.527	0.5449	0.7086	81.6784
TCGA-44-6776_T_LUAD	-0.684872338468826	Cold	2.5509	2.8366	1.4983	0.3859	25.695
TCGA-38-4630_T_LUAD	-0.707333032765603	Cold	3.9421	0.6021	5.291	0.5649	9.2599
TCGA-05-4418_T_LUAD	0.557261678472078	Hot	8.8441	1.0767	0.9983	0.3509	5.952
TCGA-55-8085_T_LUAD	0.546459896423798	Hot	5.2484	0.6751	1.746	0.8899	14.3644
TCGA-55-7995_T_LUAD	0.721807420440358	Hot	18.0285	0.4931	9.3953	2.5697	16.6304
TCGA-55-6979_T_LUAD	0.776631215183814	Hot	38.6559	4.5774	1.9496	0.7776	82.6065
TCGA-62-A472_T_LUAD	0.23855666729449	Hot	26.6458	5.2693	1.3077	1.2694	30.6571
TCGA-55-8204_T_LUAD	-0.161215078160262	Cold	9.269	1.8266	0.3377	0.5535	17.279
TCGA-62-8398_T_LUAD	-0.127316983100081	Cold	10.672	0.7703	0.9834	0.4268	12.6488
TCGA-MP-A4TI_T_LUAD	0.81567404673946	Hot	60.6162	5.89	4.6777	2.5634	60.1537
TCGA-05-4390_T_LUAD	-0.67823928016403	Cold	4.6514	1.3393	0.5392	0.5437	36.2043
TCGA-44-8120_T_LUAD	-0.472732801067153	Cold	5.7797	3.5625	3.4267	0.423	122.3964
TCGA-O1-A52J_T_LUAD	-0.456308871733747	Cold	6.1692	13.8298	2.7836	0.3538	44.7432
